analysis_id,analysis_name,domain_id,start_day,end_day,is_binary,missing_means_zero
212,ConditionGroupEraShortTerm,Condition,-30,0,Y,NA
804,ObservationShortTerm,Observation,-30,0,Y,NA
602,DeviceExposureLongTerm,Device,-365,0,Y,NA
4,DemographicsRace,Demographics,NA,NA,Y,NA
901,CharlsonIndex,Condition,NA,0,N,Y
904,Chads2Vasc,Condition,NA,0,N,Y
704,MeasurementShortTerm,Measurement,-30,0,Y,NA
902,Dcsi,Condition,NA,0,N,Y
410,DrugGroupEraLongTerm,Drug,-365,0,Y,NA
412,DrugGroupEraShortTerm,Drug,-30,0,Y,NA
702,MeasurementLongTerm,Measurement,-365,0,Y,NA
6,DemographicsIndexYear,Demographics,NA,NA,Y,NA
7,DemographicsIndexMonth,Demographics,NA,NA,Y,NA
210,ConditionGroupEraLongTerm,Condition,-365,0,Y,NA
5,DemographicsEthnicity,Demographics,NA,NA,Y,NA
1,DemographicsGender,Demographics,NA,NA,Y,NA
604,DeviceExposureShortTerm,Device,-30,0,Y,NA
802,ObservationLongTerm,Observation,-365,0,Y,NA
502,ProcedureOccurrenceLongTerm,Procedure,-365,0,Y,NA
3,DemographicsAgeGroup,Demographics,NA,NA,Y,NA
710,MeasurementRangeGroupLongTerm,,-365,0,Y,NA
413,DrugGroupEraOverlapping,Drug,0,0,Y,NA
504,ProcedureOccurrenceShortTerm,Procedure,-30,0,Y,NA
903,Chads2,Condition,NA,0,N,Y
