ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
1118084,1118084,0,0
1124300,1124300,0,0
317009,4051466,1,1
80502,40480160,1,1
4132546,375671,2,2
4132546,378001,2,2
4132546,4001336,1,1
4132546,4132546,0,0
4059173,4059173,0,0
4062501,4062501,0,0
4066995,4066995,0,0
198809,198809,0,0
198199,198199,0,0
260139,260139,0,0
261325,261325,0,0
258780,258780,0,0
255848,255848,0,0
4166224,4166224,0,0
4149245,4149245,0,0
4029498,380378,1,1
4278672,4278672,0,0
4029498,4029498,0,0
4048695,4048695,0,0
4051466,4051466,0,0
4043241,4043241,0,0
4163874,4163874,0,0
4146173,4146173,0,0
4134304,4134304,0,0
4116491,4116491,0,0
4048171,4048171,0,0
4112343,4112343,0,0
4027663,4027663,0,0
4056621,4056621,0,0
4142905,4142905,0,0
4280726,4280726,0,0
4283893,4294548,2,2
40479768,40479768,0,0
40479422,40479422,0,0
40480160,40480160,0,0
44782520,44782520,0,0
80180,80180,0,0
78272,78272,0,0
81151,81151,0,0
80502,80502,0,0
195588,195588,0,0
4324181,4324181,0,0
4230399,4230399,0,0
313217,313217,0,0
375671,375671,0,0
4001336,4001336,0,0
80809,80809,0,0
133834,133834,0,0
81893,81893,0,0
378001,378001,0,0
380378,380378,0,0
378419,378419,0,0
381316,381316,0,0
196456,196456,0,0
40486433,4048171,1,1
4283893,4283893,0,0
378419,4043241,2,2
4283893,40481087,1,1
4283893,257012,1,1
40481087,40481087,0,0
40486433,40486433,0,0
4001336,375671,1,1
4001336,378001,1,1
257012,257012,0,0
192671,192671,0,0
4035415,4035415,0,0
9201,9201,0,0
4294548,4294548,0,0
4296204,4296204,0,0
4237458,4237458,0,0
440448,440448,0,0
317009,317009,0,0
317576,317576,0,0
321042,321042,0,0
372328,372328,0,0
134438,134438,0,0
140673,140673,0,0
28060,28060,0,0
30753,30753,0,0
4329847,4329847,0,0
4285898,4285898,0,0
4310024,4310024,0,0
4266809,4266809,0,0
